小区名称,户型,面积,装修状况,总价
小区名称,户型,面积,装修状况,总价
小区名称,户型,面积,装修状况,总价
国际丽晶城,"-  <a href=""https://hf.lianjia.com/ershoufang/bijiashan1/"" target=""_blank"">笔架山</a>","-  <a href=""https://hf.lianjia.com/ershoufang/bijiashan1/"" target=""_blank"">笔架山</","-  <a href=""https://hf.lianjia.com/ershoufang/bijiashan1/"" target=""_blank"">笔架山</a>",350
融科梧桐里,"-  <a href=""https://hf.lianjia.com/ershoufang/beicheng/"" target=""_blank"">北城</a>","-  <a href=""https://hf.lianjia.com/ershoufang/beicheng/"" target=""_blank"">北城</","-  <a href=""https://hf.lianjia.com/ershoufang/beicheng/"" target=""_blank"">北城</a>",104
禄徽苑,"-  <a href=""https://hf.lianjia.com/ershoufang/beicheng/"" target=""_blank"">北城</a>","-  <a href=""https://hf.lianjia.com/ershoufang/beicheng/"" target=""_blank"">北城</","-  <a href=""https://hf.lianjia.com/ershoufang/beicheng/"" target=""_blank"">北城</a>",98
大溪地天润轩,"-  <a href=""https://hf.lianjia.com/ershoufang/xiyuan/"" target=""_blank"">西园</a>","-  <a href=""https://hf.lianjia.com/ershoufang/xiyuan/"" target=""_blank"">西园</","-  <a href=""https://hf.lianjia.com/ershoufang/xiyuan/"" target=""_blank"">西园</a>",264
海亮九玺,"-  <a href=""https://hf.lianjia.com/ershoufang/shulu/"" target=""_blank"">蜀麓</a>","-  <a href=""https://hf.lianjia.com/ershoufang/shulu/"" target=""_blank"">蜀麓</","-  <a href=""https://hf.lianjia.com/ershoufang/shulu/"" target=""_blank"">蜀麓</a>",230
信旺华府骏苑,"-  <a href=""https://hf.lianjia.com/ershoufang/nanqi/"" target=""_blank"">南七</a>","-  <a href=""https://hf.lianjia.com/ershoufang/nanqi/"" target=""_blank"">南七</","-  <a href=""https://hf.lianjia.com/ershoufang/nanqi/"" target=""_blank"">南七</a>",120
印象西湖,"-  <a href=""https://hf.lianjia.com/ershoufang/daoxiangcun/"" target=""_blank"">稻香村</a>","-  <a href=""https://hf.lianjia.com/ershoufang/daoxiangcun/"" target=""_blank"">稻香村</","-  <a href=""https://hf.lianjia.com/ershoufang/daoxiangcun/"" target=""_blank"">稻香村</a>",340
安徽省电力设计院,"-  <a href=""https://hf.lianjia.com/ershoufang/wuhulu/"" target=""_blank"">芜湖路</a>","-  <a href=""https://hf.lianjia.com/ershoufang/wuhulu/"" target=""_blank"">芜湖路</","-  <a href=""https://hf.lianjia.com/ershoufang/wuhulu/"" target=""_blank"">芜湖路</a>",110
玫瑰绅城,"-  <a href=""https://hf.lianjia.com/ershoufang/zhougudui/"" target=""_blank"">周谷堆</a>","-  <a href=""https://hf.lianjia.com/ershoufang/zhougudui/"" target=""_blank"">周谷堆</","-  <a href=""https://hf.lianjia.com/ershoufang/zhougudui/"" target=""_blank"">周谷堆</a>",90.6
岸上玫瑰北区,"-  <a href=""https://hf.lianjia.com/ershoufang/bijiashan1/"" target=""_blank"">笔架山</a>","-  <a href=""https://hf.lianjia.com/ershoufang/bijiashan1/"" target=""_blank"">笔架山</","-  <a href=""https://hf.lianjia.com/ershoufang/bijiashan1/"" target=""_blank"">笔架山</a>",390
中海滨湖公馆,"-  <a href=""https://hf.lianjia.com/ershoufang/huanhucbd/"" target=""_blank"">环湖CBD</a>","-  <a href=""https://hf.lianjia.com/ershoufang/huanhucbd/"" target=""_blank"">环湖CBD</","-  <a href=""https://hf.lianjia.com/ershoufang/huanhucbd/"" target=""_blank"">环湖CBD</a>",268
柏景湾,"-  <a href=""https://hf.lianjia.com/ershoufang/bozhou/"" target=""_blank"">亳州</a>","-  <a href=""https://hf.lianjia.com/ershoufang/bozhou/"" target=""_blank"">亳州</","-  <a href=""https://hf.lianjia.com/ershoufang/bozhou/"" target=""_blank"">亳州</a>",195
绿地滨湖国际花都,"-  <a href=""https://hf.lianjia.com/ershoufang/haiheng/"" target=""_blank"">海恒</a>","-  <a href=""https://hf.lianjia.com/ershoufang/haiheng/"" target=""_blank"">海恒</","-  <a href=""https://hf.lianjia.com/ershoufang/haiheng/"" target=""_blank"">海恒</a>",190
